mechanism,strategy,random_state,target_feature,missing_rate,condition_feature,acc
MAR,range_condition,709,residual_sugar,0.1,chlorides,0.8246013667425968
MAR,nonlinear,709,residual_sugar,0.1,chlorides,0.8901960784313725
MCAR,none,709,residual_sugar,0.1,,0.5124698310539019
MAR,basic,709,residual_sugar,0.2,chlorides,0.7632013201320133
MAR,double_threshold,709,residual_sugar,0.2,"['chlorides', 'fixed_acidity']",0.9045801526717557
MAR,range_condition,709,residual_sugar,0.2,chlorides,0.8286985539488321
MAR,nonlinear,709,residual_sugar,0.2,chlorides,0.9128787878787878
MCAR,none,709,residual_sugar,0.2,,0.5037298782881822
MAR,basic,709,residual_sugar,0.30000000000000004,chlorides,0.7939058171745152
MAR,double_threshold,709,residual_sugar,0.30000000000000004,"['chlorides', 'fixed_acidity']",0.9148387096774193
MAR,range_condition,709,residual_sugar,0.30000000000000004,chlorides,0.8534936138241923
MAR,nonlinear,709,residual_sugar,0.30000000000000004,chlorides,0.9245524296675192
MCAR,none,709,residual_sugar,0.30000000000000004,,0.5035554385040821
MAR,basic,709,residual_sugar,0.4,chlorides,0.7889215274863617
MAR,double_threshold,709,residual_sugar,0.4,"['chlorides', 'fixed_acidity']",0.93
MAR,range_condition,709,residual_sugar,0.4,chlorides,0.8554979850316637
MAR,nonlinear,709,residual_sugar,0.4,chlorides,0.9110671936758893
MCAR,none,709,residual_sugar,0.4,,0.5030711313651675
MAR,basic,709,residual_sugar,0.5,chlorides,0.8193291265360345
MAR,double_threshold,709,residual_sugar,0.5,"['chlorides', 'fixed_acidity']",0.9364069952305246
MAR,range_condition,709,residual_sugar,0.5,chlorides,0.8701417466849566
MAR,nonlinear,709,residual_sugar,0.5,chlorides,0.9396551724137931
MCAR,none,709,residual_sugar,0.5,,0.5106552162849872
MAR,basic,709,residual_sugar,0.6000000000000001,chlorides,0.8386917960088692
MAR,double_threshold,709,residual_sugar,0.6000000000000001,"['chlorides', 'fixed_acidity']",0.9527296937416777
MAR,range_condition,709,residual_sugar,0.6000000000000001,chlorides,0.8995051389417587
MAR,nonlinear,709,residual_sugar,0.6000000000000001,chlorides,0.9468154957321077
MCAR,none,709,residual_sugar,0.6000000000000001,,0.49260209114223713
MAR,basic,709,residual_sugar,0.7000000000000001,chlorides,0.8745827372436814
MAR,double_threshold,709,residual_sugar,0.7000000000000001,"['chlorides', 'fixed_acidity']",0.9640579710144928
MAR,range_condition,709,residual_sugar,0.7000000000000001,chlorides,0.9137190082644628
MAR,nonlinear,709,residual_sugar,0.7000000000000001,chlorides,0.9588336192109777
MCAR,none,709,residual_sugar,0.7000000000000001,,0.5039164490861618
MAR,basic,709,residual_sugar,0.8,chlorides,0.903539639826123
MAR,double_threshold,709,residual_sugar,0.8,"['chlorides', 'fixed_acidity']",0.974601593625498
MAR,range_condition,709,residual_sugar,0.8,chlorides,0.9452094090648308
MAR,nonlinear,709,residual_sugar,0.8,chlorides,0.9714847590953786
MCAR,none,709,residual_sugar,0.8,,0.4742024419062623
MAR,basic,709,residual_sugar,0.9,chlorides,0.9510361269026224
